record_id,insect_id,note_type,content,reference,flag
note-000041,species-10024,生態情報,幼虫はモミ、スギ、ツガの枯れ木を食害する。スギやヒノキ。モミの樹皮下で越冬し。,日本産タマムシ大図鑑,immature
note-000118,species-10078,生態情報,樹皮下などで野外越冬する。,日本産タマムシ大図鑑,review
note-200020-Eco01,species-1891,生態情報,岐阜県では7月中旬と9月中旬に樹上のタブノキの枯葉から幼虫が得られている,日本のハマキガ2,immature
note-200068,species-1883,生態情報,幼虫は様々な草本類の茎。新芽。花などに潜り。幼虫で越冬する。,日本のハマキガ2,immature
note-200077-Eco01,species-1885,生態情報,幼虫は夏から秋にかけて、シソの茎上部に虫こぶをつくる。,日本のハマキガ2,immature
note-200082,species-1886,生態情報,秋に寄主の花序の軸内に潜っている幼虫が得られている,日本のハマキガ2,immature
note-200083-Eco02,species-1889,生態情報,幼虫は地下茎内で越冬。,日本のハマキガ2,immature
note-200098,species-2063,生態情報,幼虫は落葉層内で枯葉をつづって、その中に潜みながら枯葉を摂食している。おそらく幼虫越冬。,日本のハマキガ2,immature
note-200101-Eco01,species-2064,生態情報,幼虫越冬あるいは蛹越冬と思われる。,日本のハマキガ2,immature
note-200119,species-2073,生態情報,幼虫は寄主植物の葉を二つ折りにして内面を摂食。そのまま落葉して。幼虫で越冬したのち蛹化する。,日本のハマキガ2,immature
note-200150-Eco01,species-2080,生態情報,ヨーロッパでは老熟幼虫で越冬する。,日本のハマキガ2,immature
note-200153-Eco01,species-2082,生態情報,老熟幼虫で越冬。,日本のハマキガ2,immature
note-200156-Eco01,species-2083,生態情報,おそらく老熟幼虫で越冬し。,日本のハマキガ2,immature
note-200209,species-2107,生態情報,幼虫は葉の裏表に貫通した巣を造り中に潜みながら、葉の表を摂食する。近畿地方では幼虫で越冬。岩手県では蛹越冬。,日本のハマキガ2,immature
note-200305,species-0044,生態情報,10月に採集飼育した幼虫が11月～12月に羽化することから。,日本蛾類標準図鑑3,immature
note-200349,species-0135,生態情報,幼虫は5月下旬から10月上旬まで見られ。,日本蛾類標準図鑑3,immature
note-200458,species-3435,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-200460,species-3436,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
